"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.67506968632271e-38,5.6388541918321,0.727,0.157,6.04084236565394e-34,"1","INHBA"
3.59537957634516e-12,5.32030779702813,0.356,0.099,8.11908615930263e-08,"1","PLA2G2A"
1.17938754408056e-16,5.30390858479247,0.258,0.016,2.66329295204272e-12,"1","WNT2"
4.78444729743443e-48,4.13603792337161,0.902,0.249,1.08042388870664e-43,"1","LTC4S"
6.37210902845354e-16,4.11971067010638,0.379,0.077,1.43894966080538e-11,"1","MPZL2"
6.31891555488501e-11,3.98839496816818,0.273,0.058,1.42693751060413e-06,"1","KLF9"
2.79607715694008e-10,3.90032707291979,0.28,0.064,6.31410143580208e-06,"1","CLIC3"
4.12545363509061e-21,3.82774055996018,0.659,0.236,9.31609939876161e-17,"1","ALDH1A2"
1.10186318771489e-25,3.63685323067193,0.5,0.073,2.48822745049777e-21,"1","C3"
1.38473209395151e-08,3.60282038815218,0.424,0.195,0.000312700201456131,"1","DUSP2"
0.000295436298148505,3.55929753552373,0.273,0.141,1,"1","CXCL3"
5.26767504786763e-20,3.48647883409279,0.424,0.067,1.18954637930947e-15,"1","PTGS1"
1.14069538831891e-25,3.29127047830801,0.705,0.214,2.57591832590175e-21,"1","ADIRF"
2.20721651585601e-11,3.27164160126641,0.348,0.096,4.98433633610604e-07,"1","LTBP2"
2.62803224594223e-13,3.22729312953681,0.356,0.083,5.93462241778675e-09,"1","SERTAD4-AS1"
1.0065037353259e-17,3.16335834984506,0.424,0.086,2.27288673511295e-13,"1","HYAL1"
2.95578444540387e-07,3.12543364277768,0.333,0.131,0.00667475243461101,"1","LINC01133"
1.17001545810527e-24,3.08524501368846,0.636,0.166,2.64212890749332e-20,"1","PKHD1L1"
1.81548376147446e-33,3.07522213575721,0.795,0.233,4.09972543016162e-29,"1","CPXM2"
1.02206131343005e-12,3.03324236524029,0.356,0.086,2.30801885798774e-08,"1","ST6GALNAC1"
1.79897751623371e-08,3.00392975456293,0.386,0.157,0.000406245102715896,"1","THSD4"
5.11352234093185e-12,2.95978782245167,0.621,0.291,1.15473561502923e-07,"1","SULF1"
4.37976697577435e-11,2.91129197842988,0.356,0.105,9.89038978469365e-07,"1","ACKR4"
2.66042543902531e-10,2.90761166218815,0.333,0.096,6.00777272640696e-06,"1","SLC26A7"
8.81173040197741e-14,2.85158394607628,0.318,0.054,1.98986495937454e-09,"1","PRG4"
2.64214322242419e-09,2.84946600800546,0.341,0.118,5.9664878248783e-05,"1","MAOB"
1.30193357966468e-16,2.83966976098853,0.515,0.163,2.94002640959879e-12,"1","SELP"
4.59799407996963e-12,2.82231735633111,0.394,0.121,1.03831902313874e-07,"1","MVP"
1.29079465185414e-26,2.80279533810029,0.803,0.3,2.91487248281702e-22,"1","IFI27"
3.0920998437837e-21,2.77233815593372,0.773,0.348,6.98257986723235e-17,"1","APCDD1"
3.74033914397299e-19,2.7402035545826,0.629,0.217,8.44643385491981e-15,"1","TMEM132C"
2.83223837427484e-08,2.72926041163518,0.409,0.185,0.000639576069678744,"1","AKR1C1"
1.29376249580609e-06,2.71665466253272,0.265,0.093,0.0292157446802931,"1","PDZRN3"
1.89713023385165e-29,2.6426082129666,0.985,0.754,4.2840994940838e-25,"1","FBLN2"
1.12677580532723e-16,2.54820919922187,0.364,0.058,2.54448512358996e-12,"1","NKG7"
4.32985868891729e-29,2.54552138164653,0.985,0.808,9.77768689131302e-25,"1","CLU"
1.44755823321477e-11,2.51875035763895,0.439,0.15,3.2688760022456e-07,"1","CDO1"
6.47577350939864e-12,2.50347384797167,0.515,0.208,1.4623591738924e-07,"1","FAM84B"
4.12195934834541e-13,2.49459816955923,0.629,0.304,9.3082086004336e-09,"1","CEBPD"
2.97448672675919e-27,2.49296191166803,0.97,0.712,6.71698592636761e-23,"1","ELN"
9.75983396229396e-27,2.48635168957756,0.864,0.38,2.20396570536522e-22,"1","SULF2"
1.8082056791847e-09,2.46459443094454,0.303,0.083,4.08329006473489e-05,"1","CD274"
