"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.93893229593461e-30,6.68160529567321,0.6,0.052,6.63669691067955e-26,"3","ESCO2"
3.63463579080334e-40,6.20285149893136,0.625,0.03,8.20773454279211e-36,"3","CDCA2"
1.25123692468271e-36,5.96586460363639,0.65,0.044,2.8255432233185e-32,"3","CDCA8"
4.91469565065191e-29,5.87715937634002,0.45,0.02,1.10983657183021e-24,"3","HIST1H2AJ"
1.35041647215517e-36,5.86250342054592,0.875,0.133,3.0495104774208e-32,"3","NDC80"
3.79286531024006e-21,5.75036741227085,0.45,0.042,8.5650484435841e-17,"3","PLK1"
4.56303003256474e-29,5.74017577004596,0.975,0.336,1.03042344195377e-24,"3","CDK1"
1.16479074548354e-25,5.68879242790044,0.35,0.01,2.63033046145092e-21,"3","ERCC6L"
2.04718386055019e-33,5.68509046617033,0.75,0.089,4.62295059389443e-29,"3","HMMR"
1.2795524823426e-29,5.63709933553218,0.625,0.062,2.88948541562606e-25,"3","SKA3"
2.04202634673738e-23,5.63593171340503,0.95,0.435,4.61130389620234e-19,"3","UBE2C"
1.00264045587145e-28,5.630489278699,0.7,0.094,2.2641626774489e-24,"3","FAM64A"
2.03133365362233e-21,5.60329969802813,0.85,0.291,4.58715765660994e-17,"3","RRM2"
2.42781334178004e-36,5.60012949827632,0.875,0.128,5.48248808840769e-32,"3","KIF23"
2.28535073261499e-26,5.55030051041982,0.375,0.012,5.16077902439118e-22,"3","LINC00669"
1.48882492879371e-24,5.49818901607751,0.725,0.138,3.36206445420196e-20,"3","MXD3"
2.5721090619251e-37,5.48834506151985,0.65,0.042,5.80833668363926e-33,"3","CEP55"
1.90999933754773e-31,5.42478856092945,0.8,0.126,4.31316050405028e-27,"3","KIF2C"
6.58277750904437e-31,5.41178279307208,1,0.311,1.4865228170924e-26,"3","NUSAP1"
2.90325399202266e-27,5.3371955803254,0.775,0.148,6.55612816478558e-23,"3","NUF2"
1.21376545088992e-30,5.32436935553062,0.775,0.116,2.74092514119961e-26,"3","DLGAP5"
1.0440943710797e-42,5.2964206948951,0.725,0.044,2.35777390877218e-38,"3","NCAPG"
1.06668310474286e-30,5.29619150861109,0.7,0.081,2.40878378713032e-26,"3","KIF20A"
5.03145089164867e-35,5.2713348688471,0.825,0.111,1.1362022403521e-30,"3","GTSE1"
6.79035489090136e-35,5.21971594981531,0.95,0.19,1.53339794146335e-30,"3","PBK"
3.25368773517336e-33,5.20012584733408,0.675,0.062,7.34747764356848e-29,"3","CASC5"
3.99353324571222e-26,5.18796920428264,0.875,0.222,9.01819677546733e-22,"3","CDKN3"
2.36499651160883e-29,5.18764132997748,0.625,0.062,5.34063512251507e-25,"3","KIF18A"
1.64920956404148e-19,5.17905273536297,0.325,0.017,3.72424503751848e-15,"3","FBXO43"
1.89476193763278e-44,5.17300003975593,0.825,0.067,4.27875140756235e-40,"3","CKAP2L"
7.33654823425051e-46,5.15888294834805,0.875,0.077,1.65673932225845e-41,"3","CCNA2"
1.45455146109577e-20,5.15728264647134,0.85,0.306,3.28466810944646e-16,"3","CCNB1"
9.81600946311102e-32,5.12806681970404,0.6,0.044,2.21665125695973e-27,"3","NEIL3"
2.52885454708618e-30,5.11397258599812,0.675,0.074,5.71065933823001e-26,"3","CDCA5"
1.64323005927868e-17,5.10529225462004,0.65,0.165,3.71074211986312e-13,"3","CDCA3"
3.94431440748095e-26,5.05543543820551,0.875,0.242,8.90705079497347e-22,"3","AURKB"
1.36487100095912e-26,5.02379589397862,0.55,0.049,3.08215169436589e-22,"3","CDC25C"
6.89227240209122e-26,4.97201677658325,0.775,0.153,1.55641295384024e-21,"3","TPX2"
1.94402033310095e-26,4.94950731942563,0.8,0.16,4.38998671620856e-22,"3","CDC20"
1.52723501358687e-29,4.92856227926962,0.975,0.286,3.44880210768187e-25,"3","CENPF"
2.9383057451943e-33,4.88356705286262,0.85,0.128,6.63528203379776e-29,"3","ASPM"
3.50114481515584e-27,4.87456705825063,0.675,0.086,7.90628522158493e-23,"3","BUB1B"
6.20009412589637e-11,4.81526034060646,0.325,0.049,1.40010525550992e-06,"3","HIST2H2BC"
1.89015995342819e-16,4.78983876437907,0.525,0.096,4.26835920683155e-12,"3","MND1"
6.79515773442512e-30,4.78460670239231,0.725,0.091,1.53448251958788e-25,"3","TROAP"
6.90545699141735e-23,4.75567118931805,0.925,0.356,1.55939029780187e-18,"3","TOP2A"
7.98941240198214e-21,4.73762629141444,0.55,0.077,1.80416910861561e-16,"3","NCAPH"
2.96961897127616e-42,4.73119822642579,0.8,0.067,6.70599356093582e-38,"3","SGOL1"
7.0330067336222e-24,4.688749209791,0.8,0.198,1.58819358058656e-19,"3","MKI67"
3.8711888526929e-25,4.66521373591705,0.7,0.111,8.74191866715111e-21,"3","DEPDC1"
3.45502812308533e-23,4.65829902882301,0.825,0.21,7.80214450755129e-19,"3","CENPE"
5.94742506977373e-20,4.61190440210698,0.775,0.217,1.3430475292563e-15,"3","CCNB2"
1.0877727206202e-25,4.59533422157783,0.625,0.079,2.45640835770453e-21,"3","MYBL2"
