"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.39612100373066e-12,8.2136706586324,0.303,0.057,7.66912045062457e-08,"2","PRND"
2.38856111337157e-35,7.66451562479944,0.526,0.035,5.39384870621568e-31,"2","CA4"
2.40145512774682e-21,7.61978564406869,0.25,0.003,5.42296596947787e-17,"2","GPIHBP1"
3.20815825571865e-27,7.21079800851522,0.355,0.011,7.24466297306384e-23,"2","SLC9C1"
1.38455758116344e-53,6.53045138757875,0.882,0.117,3.12660792978327e-49,"2","FABP4"
3.42725800071994e-48,6.51688859248272,0.776,0.087,7.73943401722576e-44,"2","TNNT3"
3.42011903112863e-23,6.05805077180882,0.382,0.03,7.72331279609467e-19,"2","ACE"
4.24309343286046e-21,5.94173541454819,0.329,0.022,9.5817535900855e-17,"2","CD300LG"
9.61516850390713e-42,5.62709557928956,0.632,0.046,2.17129735155231e-37,"2","CXorf36"
1.37331610945578e-08,5.51963049205973,0.329,0.103,0.000310122243837305,"2","ACTA1"
1.82104992957671e-15,5.50328025931238,0.487,0.141,4.11229495097013e-11,"2","MXRA5"
5.74782006145912e-15,5.47839614560579,0.342,0.054,1.2979727262787e-10,"2","ADGRG1"
1.4685071344502e-55,5.41338200841247,0.947,0.152,3.31618281101545e-51,"2","A2M"
4.35767883790539e-18,5.3868227240832,0.447,0.089,9.84051035175795e-14,"2","APOD"
3.83840397727287e-40,5.36516598720269,0.921,0.304,8.66788386147759e-36,"2","COL15A1"
1.01564187655991e-34,5.26298696105878,0.868,0.304,2.29352248564759e-30,"2","CD36"
3.01862286814283e-21,5.20140945716905,0.447,0.065,6.81665416084013e-17,"2","MEOX1"
3.98817562644884e-25,5.19024791012281,0.368,0.019,9.00609819964676e-21,"2","NRN1"
3.67724444146704e-35,5.18066316507839,0.868,0.314,8.30395339772087e-31,"2","IGFBP7"
5.58313746542578e-16,5.03514314272195,0.329,0.043,1.26078410244245e-11,"2","SLC14A1"
4.60063783397318e-38,5.02005897292619,0.789,0.149,1.03891603566782e-33,"2","CLDN5"
3.01615344899859e-27,4.95040768193116,0.724,0.214,6.81107771852861e-23,"2","RGCC"
1.01506301452488e-10,4.90898517428448,0.276,0.051,2.29221529940008e-06,"2","PROM1"
1.03149467930522e-28,4.7562065696224,0.816,0.295,2.32932128480705e-24,"2","C8orf4"
1.25555627444143e-13,4.7211498629996,0.329,0.057,2.83529717894363e-09,"2","FGD4"
0.00019289548042078,4.7201966161884,0.25,0.111,1,"2","APOA1"
1.24259494303018e-23,4.6960260372076,0.513,0.079,2.80602790035074e-19,"2","C1QTNF9"
2.09335651266115e-37,4.69240256742013,0.763,0.141,4.72721767689141e-33,"2","PDGFB"
2.28053687476886e-12,4.6786495203101,0.408,0.114,5.14990837060304e-08,"2","NEURL1B"
3.27231725323759e-13,4.56112332010303,0.566,0.244,7.38954682126112e-09,"2","RBP7"
4.35493307346536e-16,4.48297468143433,0.434,0.092,9.83430986649947e-12,"2","FLT4"
1.98297705059241e-12,4.43703756077527,0.276,0.041,4.47795877564779e-08,"2","JAG2"
4.21276010109423e-11,4.14259007998854,0.276,0.049,9.51325486029099e-07,"2","TCF15"
9.00291838484975e-13,4.08990477388899,0.408,0.106,2.03303902966677e-08,"2","VWA1"
3.83528839006764e-08,4.06684294001716,0.368,0.136,0.000866084824245074,"2","BTNL9"
4.55849943529217e-22,4.0283447433789,0.618,0.154,1.02940034247768e-17,"2","APLNR"
1.97467367969897e-14,4.00249934421173,0.355,0.062,4.45920810349622e-10,"2","APLN"
1.5884724090712e-31,3.93742538254897,0.737,0.157,3.58708839416459e-27,"2","TM4SF18"
2.28425543401674e-11,3.92249693732936,0.342,0.081,5.15830562109659e-07,"2","CETP"
1.93325646622592e-08,3.85973478123506,0.303,0.087,0.000436567975203137,"2","ZNF366"
6.62832892314469e-06,3.84887203921403,0.276,0.106,0.149680923742453,"2","CLEC2B"
1.96172733484805e-07,3.81633802839592,0.329,0.117,0.00442997266755386,"2","EBF3"
2.25319821932649e-05,3.7222731538252,0.434,0.257,0.508817221888307,"2","HEY1"
3.62979720365216e-16,3.69290662344111,0.618,0.244,8.1968080452873e-12,"2","ITGA6"
1.03071730546926e-26,3.68799827453284,0.961,0.84,2.32756581921069e-22,"2","FABP5"
3.90346462929843e-06,3.68623214346435,0.368,0.176,0.0881480382588172,"2","SOX11"
2.10142458349778e-15,3.60101208884985,0.605,0.222,4.74543699445468e-11,"2","MGLL"
1.35542588063226e-05,3.57541709374516,0.316,0.138,0.306082272364377,"2","RNF144A"
5.84644405131495e-09,3.55865076470825,0.25,0.051,0.000132024399566794,"2","NETO2"
0.00433619781149441,3.54142728322447,0.368,0.276,1,"2","RAPGEF1"
1.18737221049604e-08,3.43090700594952,0.276,0.068,0.000268132392574215,"2","QRFPR"
0.00189300437540141,3.41847283307542,0.303,0.187,1,"2","CLIC5"
1.72545803304947e-19,3.41171801629867,0.382,0.043,3.89642933023232e-15,"2","MEOX2"
2.81209895551826e-12,3.41148392511443,0.263,0.035,6.35028186135133e-08,"2","APOL4"
1.16400886737397e-20,3.37854929755508,0.816,0.412,2.62856482430391e-16,"2","JAM2"
5.40233739710188e-18,3.3764939330509,0.684,0.274,1.21995583101355e-13,"2","MAGI1"
1.17330931220331e-16,3.37424886725294,0.618,0.22,2.64956708881751e-12,"2","GIMAP7"
2.83244770751163e-10,3.36042632996528,0.263,0.046,6.39623341310276e-06,"2","TCTEX1D1"
4.41115009221099e-08,3.35814622572014,0.382,0.144,0.000996125913823086,"2","MFAP5"
3.74676626367647e-10,3.33241754112157,0.447,0.171,8.46094757663419e-06,"2","HECW2"
1.52456422124783e-24,3.32098567641235,0.882,0.523,3.44277092442184e-20,"2","UACA"
0.00125017421902082,3.30852918768111,0.316,0.187,1,"2","MALL"
0.000365708884357996,3.30851839164953,0.395,0.255,1,"2","LMCD1"
1.34286734818138e-09,3.22742700582442,0.592,0.35,3.03246304566318e-05,"2","NID2"
1.14981932189231e-09,3.21313692364654,0.421,0.149,2.59652199269722e-05,"2","TNFSF10"
3.60651305529541e-10,3.11769853417013,0.487,0.195,8.14422778146811e-06,"2","NOTCH4"
0.000353988484593139,3.10848162881803,0.303,0.163,1,"2","SMAD1"
3.42866299054195e-10,3.07474432272459,0.539,0.247,7.74260676524183e-06,"2","MTSS1"
1.13793407966163e-10,3.05241666168287,0.803,0.618,2.56968273869189e-06,"2","MYL2"
0.00141879624292064,3.05138172048754,0.25,0.125,1,"2","TBXA2R"
3.87323974737299e-08,3.01523399695732,0.684,0.534,0.00087465499975177,"2","LGALS3"
5.65369703628663e-33,3.01512404004534,0.987,0.921,1.27671786473425e-28,"2","COL4A1"
2.58806966459946e-15,3.00644648404695,0.789,0.537,5.8443789165985e-11,"2","SLC9A3R2"
3.17348540211558e-08,2.96674363328998,0.513,0.276,0.000716636473505741,"2","ARHGAP18"
2.35535941057048e-05,2.9409603779978,0.368,0.195,0.531887262095026,"2","ITPKB"
0.00176835459503189,2.92994843190216,0.276,0.152,1,"2","ADARB1"
5.98170903079764e-09,2.91812861474957,0.592,0.35,0.000135078953333472,"2","EMP1"
1.2817635180064e-11,2.91051978878797,0.605,0.276,2.89447837636206e-07,"2","SOX18"
0.000103607186994682,2.90666738130585,0.276,0.117,1,"2","DGKE"
0.00536605349826852,2.88761781590555,0.25,0.144,1,"2","COBLL1"
3.99932217209027e-06,2.8828382841492,0.408,0.203,0.0903126932901425,"2","XKR9"
3.30523395421605e-07,2.87029731623589,0.605,0.412,0.00746387931541068,"2","DGKH"
1.28888422912704e-20,2.81934574842507,0.842,0.423,2.91055836621468e-16,"2","ROBO4"
5.68567395894655e-09,2.81627078905786,0.5,0.23,0.000128393889340931,"2","MYO1B"
8.44707767450719e-15,2.81118260375407,0.763,0.501,1.90751908045721e-10,"2","PTPRB"
0.00269324379041816,2.80597189302471,0.263,0.144,1,"2","CNKSR3"
2.45670046788999e-13,2.80478508932316,0.645,0.298,5.54772099658917e-09,"2","ADGRL4"
0.00733228718203147,2.8016426071279,0.342,0.252,1,"2","C2orf40"
9.27946170604895e-05,2.8001178765044,0.316,0.152,1,"2","MTMR9LP"
