"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00149820469060228,0.677845082292739,0.975,0.733,1,"3","GNAI3"
0.00150320110532446,1.03875879817608,0.7,0.437,1,"3","UBE2Z"
0.00150380495963453,0.869152116968746,0.3,0.116,1,"3","ZBTB5"
0.00151248636648944,0.590829196537266,0.675,0.425,1,"3","NUP85"
0.00151295264139116,0.425974959276529,1,0.899,1,"3","COPE"
0.00152756599214041,0.717446845931881,0.475,0.23,1,"3","NTAN1"
0.0015367033797444,0.459477927243438,0.55,0.267,1,"3","TEFM"
0.00154289908598021,1.12610824951105,0.25,0.086,1,"3","ERI2"
0.00154348611669257,0.56335615043554,1,0.921,1,"3","PGK1"
0.00154965280143504,0.84523754702652,0.45,0.217,1,"3","ZC3H4"
0.00155214547110653,0.473769905667093,0.925,0.805,1,"3","SPCS2"
0.00155491605283916,0.879532248141797,0.45,0.235,1,"3","BCL2L13"
0.00155507097502,1.52633842720407,0.275,0.106,1,"3","TCTN2"
0.0015602982172727,0.321022418861602,0.725,0.415,1,"3","C1GALT1C1"
0.00156036631811628,0.519692592248624,0.575,0.328,1,"3","TMEM199"
0.00156132035244376,0.41830028825939,0.6,0.331,1,"3","CPSF2"
0.00156836820866217,0.427907072596048,0.75,0.444,1,"3","DIMT1"
0.00157260292832887,0.735445990184663,0.475,0.23,1,"3","ANKMY2"
0.00157808835051547,1.45929761055307,0.325,0.143,1,"3","C1QTNF2"
0.00158305834850557,0.755300566651199,0.825,0.681,1,"3","SNRPA1"
0.00159246355445668,0.680205458483758,0.975,0.802,1,"3","HP1BP3"
0.00159802513447231,0.618132952126566,0.675,0.444,1,"3","ATL3"
0.00160477399354274,1.24107740743954,0.25,0.089,1,"3","ZNF821"
0.00160809729982197,0.609679464815582,0.9,0.674,1,"3","SNX2"
0.00160835412902683,0.684875354380602,0.5,0.257,1,"3","POFUT1"
0.00161284897090277,0.909368058973418,0.55,0.321,1,"3","HMGXB4"
0.00161918763393371,0.309145135207281,1,0.817,1,"3","TRAPPC1"
0.00161942010959907,1.0505201805246,0.275,0.104,1,"3","NR2C2"
0.00161942348172232,0.586072370273431,0.925,0.765,1,"3","PSMC5"
0.00162415948207412,0.936176142860144,0.675,0.432,1,"3","RBM14"
0.00162700883061333,0.842478535790392,0.6,0.395,1,"3","RAD1"
0.00162858188832617,0.525481972487082,0.9,0.709,1,"3","STOML2"
0.00163612971360588,0.889922634812748,0.35,0.151,1,"3","ZNF85"
0.0016377103822989,0.699928576288639,0.45,0.232,1,"3","IGF2BP3"
0.00163972862062724,1.04853518620189,0.375,0.173,1,"3","HACL1"
0.00164119396907434,0.387872687644221,0.325,0.133,1,"3","GPATCH1"
0.00164611562917238,0.664733133137684,0.375,0.17,1,"3","FOXRED2"
0.00165810855257864,0.441244539254621,0.625,0.346,1,"3","GTF2H1"
0.00166666240482766,1.47238444297236,0.35,0.158,1,"3","RRP1"
0.00166967530048074,0.866000681265116,0.55,0.336,1,"3","ENC1"
0.00167130027324977,0.519976570743182,0.375,0.163,1,"3","CDPF1"
0.00167607860113397,0.718726625660595,0.9,0.783,1,"3","UBE2N"
0.0016767847103801,0.735697379198738,0.65,0.38,1,"3","ZMAT2"
0.00167828625267619,0.316262560020951,1,0.919,1,"3","TBCA"
0.00168415889895284,0.68516727690779,0.65,0.39,1,"3","MRPL30"
0.00168571760788712,0.356553300695032,0.775,0.472,1,"3","PTGR1"
0.0016875628459862,0.495550022565836,0.975,0.714,1,"3","IK"
0.00169278241235709,0.549044550599347,0.525,0.272,1,"3","ATPAF2"
